질문 index,turn number,질문 카테고리 2단계,질문지,기대 행동,정답지,평가,평가 원인,평가 결과,응답 json 경로
STS-015,1,단일 필터 > 단일 필터 적용,TiAlN 코팅 제품 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: coating=TiAlN | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: coating=TiAlN,purpose=question | filters=coating=TiAlN,responses/STS-015/turn_01.json
STS-016,1,단일 필터 > 단일 필터 적용,전체 국가 재고 기준으로만 볼래,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: totalStock>=1 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: totalStock>=1,purpose=question | filters=totalStock>=1,responses/STS-016/turn_01.json
STS-017,1,단일 필터 > 단일 필터 적용,X5070 브랜드 위주로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: brand=X5070 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: brand=X5070,purpose=question | filters=brand=X5070,responses/STS-017/turn_01.json
STS-018,1,단일 필터 > 단일 필터 적용,UGMH08 시리즈로 찾아줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: seriesName=UGMH08 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: seriesName=UGMH08,purpose=question | filters=seriesName=UGMH08,responses/STS-018/turn_01.json
STS-019,1,단일 필터 > 단일 필터 적용,SEME75100E 제품 알려줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: productCode=SEME75100E | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,설명형 응답이 확인됩니다.,purpose=question | filters=seriesName=SEME75,responses/STS-019/turn_01.json
STS-020,1,단일 필터 > 단일 필터 적용,Profiling 가공 기준으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: unsupportedCuttingType=Profiling | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용,통과,설명형 응답이 확인됩니다.,purpose=question | filters=none,responses/STS-020/turn_01.json
STS-021,1,단일 필터 > 단일 필터 적용,스테인리스강용 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: material=M | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: material=M,purpose=question | filters=material=M,responses/STS-021/turn_01.json
STS-022,1,단일 필터 > 단일 필터 적용,Ball 형상으로만 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: toolSubtype=Ball | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: toolSubtype=Ball,purpose=question | filters=toolSubtype=Ball,responses/STS-022/turn_01.json
STS-023,1,단일 필터 > 단일 필터 적용,직경 6mm 제품만 보고 싶어,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: diameterMm=6 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: diameterMm=6,purpose=question | filters=diameterMm=6,responses/STS-023/turn_01.json
STS-024,1,단일 필터 > 단일 필터 적용,8날 제품으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: fluteCount=8 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: fluteCount=8,purpose=question | filters=fluteCount=8,responses/STS-024/turn_01.json
STS-025,1,단일 필터 > 단일 필터 적용,Y-Coating 코팅 제품 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: coating=Y-Coating | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: coating=Y-Coating,purpose=question | filters=coating=Y-Coating,responses/STS-025/turn_01.json
STS-026,1,단일 필터 > 단일 필터 적용,미주 재고 기준으로만 볼래,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: countryCode=AMERICA | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: countryCode=AMERICA,purpose=question | filters=countryCode=AMERICA,responses/STS-026/turn_01.json
STS-027,1,단일 필터 > 단일 필터 적용,CRX-S 브랜드 위주로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: brand=CRX S | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: brand=CRX S,purpose=question | filters=brand=CRX S,responses/STS-027/turn_01.json
STS-028,1,단일 필터 > 단일 필터 적용,GMG16 시리즈로 찾아줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: seriesName=GMG16 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: seriesName=GMG16,purpose=question | filters=seriesName=GMG16,responses/STS-028/turn_01.json
STS-029,1,단일 필터 > 단일 필터 적용,UGMG210100 제품 알려줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: productCode=UGMG210100 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,설명형 응답이 확인됩니다.,purpose=question | filters=seriesName=UGMG21,responses/STS-029/turn_01.json
STS-030,1,단일 필터 > 단일 필터 적용,Helical Interpolation 가공 기준으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: unsupportedCuttingType=Helical Interpolation | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용,통과,설명형 응답이 확인됩니다.,purpose=question | filters=none,responses/STS-030/turn_01.json
STS-031,1,단일 필터 > 단일 필터 적용,알루미늄용 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: workPieceName=Aluminum | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: workPieceName=Aluminum,purpose=question | filters=workPieceName=Aluminum,responses/STS-031/turn_01.json
STS-032,1,단일 필터 > 단일 필터 적용,Roughing 형상으로만 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: toolSubtype=Roughing | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: toolSubtype=Roughing,purpose=question | filters=toolSubtype=Roughing,responses/STS-032/turn_01.json
STS-033,1,단일 필터 > 단일 필터 적용,직경 12mm 제품만 보고 싶어,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: diameterMm=12 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: diameterMm=12,purpose=question | filters=diameterMm=12,responses/STS-033/turn_01.json
STS-034,1,단일 필터 > 단일 필터 적용,5날 제품으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: fluteCount=5 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: fluteCount=5,purpose=question | filters=fluteCount=5,responses/STS-034/turn_01.json
STS-035,1,단일 필터 > 단일 필터 적용,DLC 코팅 제품 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: coating=DLC | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: coating=DLC,purpose=question | filters=coating=DLC,responses/STS-035/turn_01.json
STS-036,1,단일 필터 > 단일 필터 적용,전체 국가 재고 기준으로만 볼래,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: totalStock>=1 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: totalStock>=1,purpose=question | filters=totalStock>=1,responses/STS-036/turn_01.json
STS-037,1,단일 필터 > 단일 필터 적용,ALU-CUT 브랜드 위주로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: brand=ALU-CUT for Korean Market | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: brand=ALU-CUT for Korean Market,purpose=question | filters=brand=ALU-CUT for Korean Market,responses/STS-037/turn_01.json
STS-038,1,단일 필터 > 단일 필터 적용,UGMG21 시리즈로 찾아줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: seriesName=UGMG21 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,실패,필수 필터 미적용: seriesName=UGMG21,purpose=question | filters=seriesName=UGMG22,responses/STS-038/turn_01.json
STS-039,1,단일 필터 > 단일 필터 적용,CG3S1306045 제품 알려줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: productCode=CG3S1306045 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,설명형 응답이 확인됩니다.,purpose=question | filters=seriesName=CG3S13,responses/STS-039/turn_01.json
STS-040,1,단일 필터 > 단일 필터 적용,Side Milling 가공 기준으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: cuttingType=Side_Milling | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: cuttingType=Side_Milling,purpose=question | filters=cuttingType=Side_Milling,responses/STS-040/turn_01.json
STS-041,1,단일 필터 > 단일 필터 적용,구리용 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: workPieceName=Copper | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: workPieceName=Copper,purpose=question | filters=workPieceName=Copper,responses/STS-041/turn_01.json
STS-042,1,단일 필터 > 단일 필터 적용,Ball 형상으로만 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: toolSubtype=Ball | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: toolSubtype=Ball,purpose=question | filters=toolSubtype=Ball,responses/STS-042/turn_01.json
STS-043,1,단일 필터 > 단일 필터 적용,직경 4mm 제품만 보고 싶어,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: diameterMm=4 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: diameterMm=4,purpose=question | filters=diameterMm=4,responses/STS-043/turn_01.json
STS-044,1,단일 필터 > 단일 필터 적용,3날 제품으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: fluteCount=3 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: fluteCount=3,purpose=question | filters=fluteCount=3,responses/STS-044/turn_01.json
STS-045,1,단일 필터 > 단일 필터 적용,TiAlN 코팅 제품 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: coating=TiAlN | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: coating=TiAlN,purpose=question | filters=coating=TiAlN,responses/STS-045/turn_01.json
STS-046,1,단일 필터 > 단일 필터 적용,미주 재고 기준으로만 볼래,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: countryCode=AMERICA | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: countryCode=AMERICA,purpose=question | filters=countryCode=AMERICA,responses/STS-046/turn_01.json
STS-047,1,단일 필터 > 단일 필터 적용,X5070 브랜드 위주로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: brand=X5070 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: brand=X5070,purpose=question | filters=brand=X5070,responses/STS-047/turn_01.json
STS-048,1,단일 필터 > 단일 필터 적용,EMI42 시리즈로 찾아줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: seriesName=EMI42 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: seriesName=EMI42,purpose=question | filters=seriesName=EMI42,responses/STS-048/turn_01.json
STS-049,1,단일 필터 > 단일 필터 적용,SEME75100E 제품 알려줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: productCode=SEME75100E | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,설명형 응답이 확인됩니다.,purpose=question | filters=seriesName=SEME75,responses/STS-049/turn_01.json
STS-050,1,단일 필터 > 단일 필터 적용,Profiling 가공 기준으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: unsupportedCuttingType=Profiling | 기대 결과: 현재 DB 미지원 가공 방식 안내 + 필터 미적용,통과,설명형 응답이 확인됩니다.,purpose=question | filters=none,responses/STS-050/turn_01.json
STS-051,1,단일 필터 > 단일 필터 적용,SM 58으로 필터링해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.","필수 필터/의도: material=P, workPieceName=Carbon Steels | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문",실패,"필수 필터 미적용: material=P, workPieceName=Carbon Steels",purpose=question | filters=none,responses/STS-051/turn_01.json
STS-052,1,단일 필터 > 단일 필터 적용,A2765-35 제품으로 필터링해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.","필수 필터/의도: material=P, workPieceName=Carbon Steels | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문",실패,"필수 필터 미적용: material=P, workPieceName=Carbon Steels",purpose=question | filters=none,responses/STS-052/turn_01.json
STS-053,1,단일 필터 > 단일 필터 적용,SS 규격 기준으로 1311 제품을 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.","필수 필터/의도: material=P, workPieceName=Carbon Steels | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문",실패,"필수 필터 미적용: material=P, workPieceName=Carbon Steels",purpose=recommendation | filters=seriesName=Accessory,responses/STS-053/turn_01.json
