question,answer,series,brand,category
ALU-CUT E5D71은 어디에 쓰는 거야?,"ALU-CUT E5D71은(는) 슬로팅, 사이드컷팅, 알루미늄, 알루미늄 합금, 비철금속 등에 사용됩니다.",E5D71,ALU-CUT,application
비철금속(알루미늄 등) 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5D71 시리즈를 추천합니다. 2날 스퀘어 E5D71 시리즈이며, ISO N(비철금속(알루미늄 등)) 소재에 적합합니다.",E5D71,ALU-CUT,selection
일반강/합금강 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5D71 시리즈를 추천합니다. 2날 스퀘어 E5D71 시리즈이며, ISO P(일반강/합금강) 소재에 적합합니다.",E5D71,ALU-CUT,selection
ALU-CUT E5D70 시리즈가 뭐야?,"ALU-CUT E5D70은(는) 3날 스퀘어 / 3날 롱넥 스퀘어 E5D70 / E5E83 시리즈, 엔드밀, (스퀘어 / 롱넥 스퀘어), 재질은 초경, 무코팅 코팅, 3날입니다.",E5D70,ALU-CUT,product_overview
ALU-CUT E5D70은 어떤 소재에 쓸 수 있어?,"ALU-CUT E5D70은(는) 알루미늄, 비철금속, 알루미늄 전신재 합금, 알루미늄 주조 합금, 구리 및 구리 합금 (청동 / 황동), N Metallic Materials, 알루미늄, 알루미늄 합금 등의 소재 가공에 적합합니다. ISO 그룹 N(비철금속(알루미늄 등)), S(내열합금/티타늄)에 해당합니다.",E5D70,ALU-CUT,material_target
ALU-CUT E5D70의 코팅이랑 재질은?,"ALU-CUT E5D70의 공구 재질은 초경, 코팅은 무코팅입니다.",E5D70,ALU-CUT,coating_material
ALU-CUT E5D70의 특징이 뭐야?,ALU-CUT E5D70의 주요 특징: 비철금속 피삭재 가공에 적합하며 다음을 포함: 알루미늄 및 알루미늄 합금. 피삭재 표면 조도 개선 및 wearrestance due  Mirror grdg  절삭날. Special 절삭날  mimizati  vibrati. Very small elrance  cuttg diameters. Available various cuttg length ols.,E5D70,ALU-CUT,feature
ALU-CUT E5D70의 사양이 어떻게 돼?,"ALU-CUT E5D70 사양: 날 수 3, 직경 범위 D1.0~D20.0, 깊이비 2.5D, 헬릭스각 45°.",E5D70,ALU-CUT,tool_shape
ALU-CUT E5D70은 어디에 쓰는 거야?,"ALU-CUT E5D70은(는) 슬로팅, 사이드컷팅, 비철금속, 알루미늄, 알루미늄 합금 등에 사용됩니다.",E5D70,ALU-CUT,application
비철금속(알루미늄 등) 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5D70 시리즈를 추천합니다. 3날 스퀘어 / 3날 롱넥 스퀘어 E5D70 / E5E83 시리즈이며, ISO N(비철금속(알루미늄 등)) 소재에 적합합니다. 코팅은 무코팅.",E5D70,ALU-CUT,selection
내열합금/티타늄 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5D70 시리즈를 추천합니다. 3날 스퀘어 / 3날 롱넥 스퀘어 E5D70 / E5E83 시리즈이며, ISO S(내열합금/티타늄) 소재에 적합합니다. 코팅은 무코팅.",E5D70,ALU-CUT,selection
ALU-CUT E5E83 시리즈가 뭐야?,"ALU-CUT E5E83은(는) 3날 스퀘어 / 3날 롱넥 스퀘어 E5D70 / E5E83 시리즈, 엔드밀, (스퀘어 / 롱넥 스퀘어), 3날입니다.",E5E83,ALU-CUT,product_overview
ALU-CUT E5E83은 어떤 소재에 쓸 수 있어?,"ALU-CUT E5E83은(는) 알루미늄, 비철금속 등의 소재 가공에 적합합니다. ISO 그룹 N(비철금속(알루미늄 등))에 해당합니다.",E5E83,ALU-CUT,material_target
ALU-CUT E5E83의 사양이 어떻게 돼?,"ALU-CUT E5E83 사양: 날 수 3, 직경 범위 D1.0~D20.0.",E5E83,ALU-CUT,tool_shape
ALU-CUT E5E83은 어디에 쓰는 거야?,"ALU-CUT E5E83은(는) 슬로팅, 사이드컷팅 등에 사용됩니다.",E5E83,ALU-CUT,application
비철금속(알루미늄 등) 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5E83 시리즈를 추천합니다. 3날 스퀘어 / 3날 롱넥 스퀘어 E5D70 / E5E83 시리즈이며, ISO N(비철금속(알루미늄 등)) 소재에 적합합니다.",E5E83,ALU-CUT,selection
ALU-CUT E5D74 시리즈가 뭐야?,"ALU-CUT E5D74은(는) 3날 웨이브컷 E5D74 시리즈, 엔드밀, (Wave Cut), 3날입니다.",E5D74,ALU-CUT,product_overview
ALU-CUT E5D74은 어떤 소재에 쓸 수 있어?,"ALU-CUT E5D74은(는) 알루미늄, 비철금속 등의 소재 가공에 적합합니다. ISO 그룹 N(비철금속(알루미늄 등))에 해당합니다.",E5D74,ALU-CUT,material_target
ALU-CUT E5D74의 특징이 뭐야?,"ALU-CUT E5D74의 주요 특징: 3날 웨이브컷 시리즈. 알루미늄, 비철금속용 절삭조건 수록. 슬로팅용 추천 절삭조건 수록.",E5D74,ALU-CUT,feature
ALU-CUT E5D74의 사양이 어떻게 돼?,"ALU-CUT E5D74 사양: 날 수 3, 직경 범위 6.0~20.0.",E5D74,ALU-CUT,tool_shape
ALU-CUT E5D74은 어디에 쓰는 거야?,"ALU-CUT E5D74은(는) 슬로팅, 사이드컷팅 등에 사용됩니다.",E5D74,ALU-CUT,application
비철금속(알루미늄 등) 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5D74 시리즈를 추천합니다. 3날 웨이브컷 E5D74 시리즈이며, ISO N(비철금속(알루미늄 등)) 소재에 적합합니다.",E5D74,ALU-CUT,selection
ALU-CUT E5D73 시리즈가 뭐야?,"ALU-CUT E5D73은(는) 3날 라핑 E5D73 시리즈, 엔드밀, (황삭), 재질은 초경, new 코팅 코팅, 3날입니다.",E5D73,ALU-CUT,product_overview
ALU-CUT E5D73은 어떤 소재에 쓸 수 있어?,"ALU-CUT E5D73은(는) 알루미늄, 비철금속, 합금 강, Staless 강, 티타늄, 인코넬, 알루미늄, 알루미늄 합금 등의 소재 가공에 적합합니다. ISO 그룹 N(비철금속(알루미늄 등)), P(일반강/합금강), M(스테인리스강), K(주철), S(내열합금/티타늄), H(고경도강)에 해당합니다.",E5D73,ALU-CUT,material_target
ALU-CUT E5D73의 코팅이랑 재질은?,"ALU-CUT E5D73의 공구 재질은 초경, 코팅은 new 코팅입니다.",E5D73,ALU-CUT,coating_material
ALU-CUT E5D73의 특징이 뭐야?,"ALU-CUT E5D73의 주요 특징: 3날 라핑. 적합 대상: heavy cuttg 및 양호 내마모성 due  new 코팅 및 new cfigurati  ol. 적합 대상: cuttg difficult  cut materials like 합금 강, 스테인리스강, 티타늄, 인코넬 etc.. 우수 표면 조도 when 측면 가공 due  high helix 및 6 날. 镜面处理提高加工时表面粗糙度.",E5D73,ALU-CUT,feature
ALU-CUT E5D73의 사양이 어떻게 돼?,"ALU-CUT E5D73 사양: 날 수 3, 직경 범위 D4.0~D20.0, 헬릭스각 45°.",E5D73,ALU-CUT,tool_shape
ALU-CUT E5D73은 어디에 쓰는 거야?,"ALU-CUT E5D73은(는) 슬로팅, 사이드컷팅, Heavy cuttg, 측면 가공, Cuttg difficult--cut materials 등에 사용됩니다.",E5D73,ALU-CUT,application
비철금속(알루미늄 등) 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5D73 시리즈를 추천합니다. 3날 라핑 E5D73 시리즈이며, ISO N(비철금속(알루미늄 등)) 소재에 적합합니다. 코팅은 new 코팅.",E5D73,ALU-CUT,selection
일반강/합금강 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5D73 시리즈를 추천합니다. 3날 라핑 E5D73 시리즈이며, ISO P(일반강/합금강) 소재에 적합합니다. 코팅은 new 코팅.",E5D73,ALU-CUT,selection
ALU-CUT E584 시리즈가 뭐야?,"ALU-CUT E584은(는) 3날 고이송용 라핑 E584 시리즈, 엔드밀, (황삭 / High-feed), 3날입니다.",E584,ALU-CUT,product_overview
ALU-CUT E584은 어떤 소재에 쓸 수 있어?,"ALU-CUT E584은(는) 알루미늄, 비철금속 등의 소재 가공에 적합합니다. ISO 그룹 N(비철금속(알루미늄 등))에 해당합니다.",E584,ALU-CUT,material_target
ALU-CUT E584의 특징이 뭐야?,"ALU-CUT E584의 주요 특징: 3날 고이송용 라핑. 알루미늄, 비철금속용.",E584,ALU-CUT,feature
ALU-CUT E584의 사양이 어떻게 돼?,"ALU-CUT E584 사양: 날 수 3, 직경 범위 D6.0~D20.0.",E584,ALU-CUT,tool_shape
ALU-CUT E584은 어디에 쓰는 거야?,"ALU-CUT E584은(는) 슬로팅, 사이드컷팅 등에 사용됩니다.",E584,ALU-CUT,application
비철금속(알루미늄 등) 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E584 시리즈를 추천합니다. 3날 고이송용 라핑 E584 시리즈이며, ISO N(비철금속(알루미늄 등)) 소재에 적합합니다.",E584,ALU-CUT,selection
DREAM DRILLS PRO 시리즈가 뭐야?,"DREAM DRILLS PRO은(는) 솔리드 초경 DREAM DRILLS - PRO 쿨런트 홀 있음, 드릴, (솔리드 초경 드릴 / 쿨런트 홀 있음), 재질은 초경입니다.",PRO,DREAM DRILLS,product_overview
DREAM DRILLS PRO은 어떤 소재에 쓸 수 있어?,"DREAM DRILLS PRO은(는) DIN 42CrMo4, ANSI 4140, JIS SCM440, 강 HRC30 (HB286) 등의 소재 가공에 적합합니다. ISO 그룹 P(일반강/합금강)에 해당합니다.",PRO,DREAM DRILLS,material_target
DREAM DRILLS PRO의 코팅이랑 재질은?,DREAM DRILLS PRO의 공구 재질은 초경입니다.,PRO,DREAM DRILLS,coating_material
DREAM DRILLS PRO의 특징이 뭐야?,DREAM DRILLS PRO의 주요 특징: 쿨런트 홀 있음. 내냉.,PRO,DREAM DRILLS,feature
DREAM DRILLS PRO의 사양이 어떻게 돼?,"DREAM DRILLS PRO 사양: 직경 범위 Ø10.0, 냉각 방식 내부 냉각 (20 bar).",PRO,DREAM DRILLS,tool_shape
DREAM DRILLS PRO은 어디에 쓰는 거야?,DREAM DRILLS PRO은(는) 드릴링 등에 사용됩니다.,PRO,DREAM DRILLS,application
일반강/합금강 가공할 때 쓸만한 드릴 있어?,"DREAM DRILLS PRO 시리즈를 추천합니다. 솔리드 초경 DREAM DRILLS - PRO 쿨런트 홀 있음이며, ISO P(일반강/합금강) 소재에 적합합니다.",PRO,DREAM DRILLS,selection
DREAM DRILLS DREAM DRILLS-ALU 시리즈가 뭐야?,"DREAM DRILLS DREAM DRILLS-ALU은(는) 솔리드 초경 DREAM DRILLS - ALU 쿨런트 홀 있음 / 硬质合金梦幻钻头 铝用-带内冷孔, 드릴, (솔리드 초경, 쿨런트 홀), 재질은 초경입니다.",DREAM DRILLS-ALU,DREAM DRILLS,product_overview
DREAM DRILLS DREAM DRILLS-ALU은 어떤 소재에 쓸 수 있어?,"DREAM DRILLS DREAM DRILLS-ALU은(는) DIN: AlMgSiCu, AISI: 6061, JIS: A6061, AlMgSiCu, AISI 6061, JIS A6061 등의 소재 가공에 적합합니다. ISO 그룹 N(비철금속(알루미늄 등))에 해당합니다.",DREAM DRILLS-ALU,DREAM DRILLS,material_target
DREAM DRILLS DREAM DRILLS-ALU의 코팅이랑 재질은?,DREAM DRILLS DREAM DRILLS-ALU의 공구 재질은 초경입니다.,DREAM DRILLS-ALU,DREAM DRILLS,coating_material
DREAM DRILLS DREAM DRILLS-ALU의 특징이 뭐야?,DREAM DRILLS DREAM DRILLS-ALU의 주요 특징: 쿨런트 홀 있음. 솔리드 초경. Solid 초경 드릴. With 쿨런트 홀. Designed  ALU 용도.,DREAM DRILLS-ALU,DREAM DRILLS,feature
DREAM DRILLS DREAM DRILLS-ALU의 사양이 어떻게 돼?,"DREAM DRILLS DREAM DRILLS-ALU 사양: 직경 범위 Ø10.0, 냉각 방식 내부 냉각.",DREAM DRILLS-ALU,DREAM DRILLS,tool_shape
DREAM DRILLS DREAM DRILLS-ALU은 어디에 쓰는 거야?,"DREAM DRILLS DREAM DRILLS-ALU은(는) 알루미늄 드릴링, 드릴링 알루미늄 합금 work materials 등에 사용됩니다.",DREAM DRILLS-ALU,DREAM DRILLS,application
비철금속(알루미늄 등) 가공할 때 쓸만한 드릴 있어?,"DREAM DRILLS DREAM DRILLS-ALU 시리즈를 추천합니다. 솔리드 초경 DREAM DRILLS - ALU 쿨런트 홀 있음 / 硬质合金梦幻钻头 铝用-带内冷孔이며, ISO N(비철금속(알루미늄 등)) 소재에 적합합니다.",DREAM DRILLS-ALU,DREAM DRILLS,selection
DREAM DRILLS DI473060 시리즈가 뭐야?,"DREAM DRILLS DI473060은(는) 솔리드 초경 DREAM DRILLS - CFRP out 쿨런트 홀, 드릴, (CFRP 드릴), 재질은 초경입니다.",DI473060,DREAM DRILLS,product_overview
DREAM DRILLS DI473060은 어떤 소재에 쓸 수 있어?,DREAM DRILLS DI473060은(는) CFRP 등의 소재 가공에 적합합니다.,DI473060,DREAM DRILLS,material_target
DREAM DRILLS DI473060의 코팅이랑 재질은?,DREAM DRILLS DI473060의 공구 재질은 초경입니다.,DI473060,DREAM DRILLS,coating_material
DREAM DRILLS DI473060의 특징이 뭐야?,DREAM DRILLS DI473060의 주요 특징: 솔리드 초경 DREAM DRILLS. out 쿨런트 홀.  CFRP. 건식 절삭.,DI473060,DREAM DRILLS,feature
DREAM DRILLS DI473060의 사양이 어떻게 돼?,"DREAM DRILLS DI473060 사양: 직경 범위 Ø6, 냉각 방식 Dry.",DI473060,DREAM DRILLS,tool_shape
DREAM DRILLS DI473060은 어디에 쓰는 거야?,DREAM DRILLS DI473060은(는) 드릴링 CFRP 등에 사용됩니다.,DI473060,DREAM DRILLS,application
DREAM DRILLS DH500100 시리즈가 뭐야?,"DREAM DRILLS DH500100은(는) 솔리드 초경 DREAM DRILLS  HIGH HARDENED STEELS, 드릴, (솔리드 초경 드릴), 재질은 초경입니다.",DH500100,DREAM DRILLS,product_overview
DREAM DRILLS DH500100은 어떤 소재에 쓸 수 있어?,"DREAM DRILLS DH500100은(는) DIN X155CrV-Mo12-1, WR 1.2379, JIS SKD11(HRc60) 등의 소재 가공에 적합합니다. ISO 그룹 H(고경도강)에 해당합니다.",DH500100,DREAM DRILLS,material_target
DREAM DRILLS DH500100의 코팅이랑 재질은?,DREAM DRILLS DH500100의 공구 재질은 초경입니다.,DH500100,DREAM DRILLS,coating_material
DREAM DRILLS DH500100의 특징이 뭐야?,DREAM DRILLS DH500100의 주요 특징: Low 헬릭스각  maximize ols' rigidity. Special Pot Thng  improve 칩 배출. 우수 코팅 및 표면 처리  improved surface 및 better 칩 배출.,DH500100,DREAM DRILLS,feature
DREAM DRILLS DH500100의 사양이 어떻게 돼?,"DREAM DRILLS DH500100 사양: 직경 범위 Ø10, 깊이비 2.5xD, 헬릭스각 Low Helix Angle, 냉각 방식 습식 절삭.",DH500100,DREAM DRILLS,tool_shape
DREAM DRILLS DH500100은 어디에 쓰는 거야?,"DREAM DRILLS DH500100은(는) 드릴링 high 경화강s, High 경화강s HRc50-70 등에 사용됩니다.",DH500100,DREAM DRILLS,application
고경도강 가공할 때 쓸만한 드릴 있어?,"DREAM DRILLS DH500100 시리즈를 추천합니다. 솔리드 초경 DREAM DRILLS  HIGH HARDENED STEELS이며, ISO H(고경도강) 소재에 적합합니다.",DH500100,DREAM DRILLS,selection
YG-1 TQ744246 시리즈가 뭐야?,"YG-1 TQ744246은(는) Combo 탭 스테인리스강 가공용, (Combo 탭 / 스파이럴 날)입니다.",TQ744246,YG-1,product_overview
YG-1 TQ744246은 어떤 소재에 쓸 수 있어?,"YG-1 TQ744246은(는) 스테인리스강, JIS SUS304, DIN X5CrNi18 10 (X 4 CrNi18-10), WR 1.4303 등의 소재 가공에 적합합니다. ISO 그룹 M(스테인리스강)에 해당합니다.",TQ744246,YG-1,material_target
YG-1 TQ744246의 특징이 뭐야?,YG-1 TQ744246의 주요 특징: 스파이럴 날. Designed  스테인리스강. Case study shows lger 공구 수명 than competirs.,TQ744246,YG-1,feature
YG-1 TQ744246의 사양이 어떻게 돼?,YG-1 TQ744246 사양: 냉각 방식 습식 절삭.,TQ744246,YG-1,tool_shape
YG-1 TQ744246은 어디에 쓰는 거야?,YG-1 TQ744246은(는) 탭핑 스테인리스강 등에 사용됩니다.,TQ744246,YG-1,application
스테인리스강 가공할 때 쓸만한 탭 있어?,"YG-1 TQ744246 시리즈를 추천합니다. Combo 탭 스테인리스강 가공용이며, ISO M(스테인리스강) 소재에 적합합니다.",TQ744246,YG-1,selection
YG-1 TQ744316 시리즈가 뭐야?,"YG-1 TQ744316은(는) Combo 탭 스테인리스강 가공용, (Combo 탭 / 스파이럴 날)입니다.",TQ744316,YG-1,product_overview
YG-1 TQ744316은 어떤 소재에 쓸 수 있어?,"YG-1 TQ744316은(는) 스테인리스강, JIS SUS304, DIN X5CrNi18 10 (X 4 CrNi18-10), WR 1.4303 등의 소재 가공에 적합합니다. ISO 그룹 M(스테인리스강)에 해당합니다.",TQ744316,YG-1,material_target
YG-1 TQ744316의 특징이 뭐야?,YG-1 TQ744316의 주요 특징: 스파이럴 날. Designed  스테인리스강. Case study shows lger 공구 수명 than competirs.,TQ744316,YG-1,feature
YG-1 TQ744316의 사양이 어떻게 돼?,YG-1 TQ744316 사양: 냉각 방식 습식 절삭.,TQ744316,YG-1,tool_shape
YG-1 TQ744316은 어디에 쓰는 거야?,YG-1 TQ744316은(는) 탭핑 스테인리스강 등에 사용됩니다.,TQ744316,YG-1,application
스테인리스강 가공할 때 쓸만한 탭 있어?,"YG-1 TQ744316 시리즈를 추천합니다. Combo 탭 스테인리스강 가공용이며, ISO M(스테인리스강) 소재에 적합합니다.",TQ744316,YG-1,selection
YG-1 CBN 시리즈가 뭐야?,"YG-1 CBN은(는) CBN End mills / CBN 볼노즈 End mill, 엔드밀, 재질은 CBN, 2날입니다.",CBN,YG-1,product_overview
YG-1 CBN은 어떤 소재에 쓸 수 있어?,"YG-1 CBN은(는) JIS SKD11 (HRc60), DIN X155CrV-Mo12-1, WR 1.2379 등의 소재 가공에 적합합니다. ISO 그룹 H(고경도강)에 해당합니다.",CBN,YG-1,material_target
YG-1 CBN의 코팅이랑 재질은?,YG-1 CBN의 공구 재질은 CBN입니다.,CBN,YG-1,coating_material
YG-1 CBN의 특징이 뭐야?,YG-1 CBN의 주요 특징: 2날 CBN 볼노즈 엔드밀. Used  high-hardness mold 강 machg. Case study comps YG-1 agast competirs  wear 및 표면 조도.,CBN,YG-1,feature
YG-1 CBN의 사양이 어떻게 돼?,"YG-1 CBN 사양: 날 수 2, 직경 범위 Ø1 x R0.5, Ø2 x R1.0, 냉각 방식 Oil Mt.",CBN,YG-1,tool_shape
YG-1 CBN은 어디에 쓰는 거야?,"YG-1 CBN은(는) 밀링  hardened 공구강, High-hardness 정삭  SKD11 등에 사용됩니다.",CBN,YG-1,application
고경도강 가공할 때 쓸만한 엔드밀 있어?,"YG-1 CBN 시리즈를 추천합니다. CBN End mills / CBN 볼노즈 End mill이며, ISO H(고경도강) 소재에 적합합니다.",CBN,YG-1,selection
i-Xmill XMB120C160 시리즈가 뭐야?,"i-Xmill XMB120C160은(는) i-Xmill 볼노즈 / 볼, 엔드밀입니다.",XMB120C160,i-Xmill,product_overview
i-Xmill XMB120C160은 어떤 소재에 쓸 수 있어?,"i-Xmill XMB120C160은(는) JIS SKD61 (HRC50), DIN X40CrMoV51 (1.2344), AISI H13, SKD61 (HRC50), X40CrMoV51 (1.2344), H13 등의 소재 가공에 적합합니다. ISO 그룹 H(고경도강)에 해당합니다.",XMB120C160,i-Xmill,material_target
i-Xmill XMB120C160의 특징이 뭐야?,i-Xmill XMB120C160의 주요 특징: Case study page comparg YG-1 및 competirs. 볼 nose 엔드밀 test  측면 가공. Total 밀링 length reached 189m  YG-1 및 both competirs. YG-1 showed  lowest wear   test. Tested  측면 가공.,XMB120C160,i-Xmill,feature
i-Xmill XMB120C160의 사양이 어떻게 돼?,"i-Xmill XMB120C160 사양: 직경 범위 Ø16xR8.0, 냉각 방식 Oil Mt.",XMB120C160,i-Xmill,tool_shape
i-Xmill XMB120C160은 어디에 쓰는 거야?,i-Xmill XMB120C160은(는) 측면 가공 등에 사용됩니다.,XMB120C160,i-Xmill,application
고경도강 가공할 때 쓸만한 엔드밀 있어?,"i-Xmill XMB120C160 시리즈를 추천합니다. i-Xmill 볼노즈 / 볼이며, ISO H(고경도강) 소재에 적합합니다.",XMB120C160,i-Xmill,selection
i-Xmill XMR110A16020 시리즈가 뭐야?,"i-Xmill XMR110A16020은(는) i-Xmill 코너 래디우스 / 코너 래디우스, 엔드밀입니다.",XMR110A16020,i-Xmill,product_overview
i-Xmill XMR110A16020은 어떤 소재에 쓸 수 있어?,"i-Xmill XMR110A16020은(는) KS KP4M (Mold 강 HRC35), DIN 40CrMnNiMo8-6-4 (1.2738), AISI P20+Ni, KP4M (Mold 강 HRC35), 40CrMnNiMo8-6-4 (1.2738), P20+Ni 등의 소재 가공에 적합합니다. ISO 그룹 P(일반강/합금강), H(고경도강)에 해당합니다.",XMR110A16020,i-Xmill,material_target
i-Xmill XMR110A16020의 특징이 뭐야?,i-Xmill XMR110A16020의 주요 특징: Case study page comparg YG-1 및 competirs. Corner 래디우스 엔드밀 test  측면 가공. Total 밀링 length reached 450m  YG-1 및 both competirs. YG-1 showed  lowest wear   test. Tested  측면 가공.,XMR110A16020,i-Xmill,feature
i-Xmill XMR110A16020의 사양이 어떻게 돼?,"i-Xmill XMR110A16020 사양: 직경 범위 Ø16xR2.0, 냉각 방식 Oil Mt.",XMR110A16020,i-Xmill,tool_shape
i-Xmill XMR110A16020은 어디에 쓰는 거야?,i-Xmill XMR110A16020은(는) 측면 가공 등에 사용됩니다.,XMR110A16020,i-Xmill,application
일반강/합금강 가공할 때 쓸만한 엔드밀 있어?,"i-Xmill XMR110A16020 시리즈를 추천합니다. i-Xmill 코너 래디우스 / 코너 래디우스이며, ISO P(일반강/합금강) 소재에 적합합니다.",XMR110A16020,i-Xmill,selection
고경도강 가공할 때 쓸만한 엔드밀 있어?,"i-Xmill XMR110A16020 시리즈를 추천합니다. i-Xmill 코너 래디우스 / 코너 래디우스이며, ISO H(고경도강) 소재에 적합합니다.",XMR110A16020,i-Xmill,selection
i-Xmill XMR110D17010 시리즈가 뭐야?,"i-Xmill XMR110D17010은(는) i-Xmill 코너 래디우스, 엔드밀, 다이아몬드 코팅 코팅입니다.",XMR110D17010,i-Xmill,product_overview
i-Xmill XMR110D17010은 어떤 소재에 쓸 수 있어?,"i-Xmill XMR110D17010은(는) 흑연, Ceramics, Al, Ceramics (greens, stered) 등의 소재 가공에 적합합니다.",XMR110D17010,i-Xmill,material_target
i-Xmill XMR110D17010의 코팅이랑 재질은?,i-Xmill XMR110D17010의 코팅은 다이아몬드 코팅입니다.,XMR110D17010,i-Xmill,coating_material
i-Xmill XMR110D17010의 특징이 뭐야?,i-Xmill XMR110D17010의 주요 특징: 높은 내마모성. 양호한 마찰 계수 (agast Al). 고정밀. 양호 crystalle structure. Protects ols agast abrasive wear.,XMR110D17010,i-Xmill,feature
i-Xmill XMR110D17010의 사양이 어떻게 돼?,"i-Xmill XMR110D17010 사양: 직경 범위 Ø17 x R1.0, 냉각 방식 에어 블로우.",XMR110D17010,i-Xmill,tool_shape
i-Xmill XMR110D17010은 어디에 쓰는 거야?,"i-Xmill XMR110D17010은(는) 흑연 cuttg, 정밀 흑연 전극, MEMS(초소형 전자기계 시스템) (MEMS), 인쇄회로기판(PCB) (PCBs), Ceramics (greens, stered) 등에 사용됩니다.",XMR110D17010,i-Xmill,application
4G Mills SEMD98060E 시리즈가 뭐야?,"4G Mills SEMD98060E은(는) 4G Mills End mills / 볼노즈 球头, 엔드밀, 2날입니다.",SEMD98060E,4G Mills,product_overview
4G Mills SEMD98060E은 어떤 소재에 쓸 수 있어?,"4G Mills SEMD98060E은(는) KP4M (HRc35 / DIN 1.2738 Improved) 등의 소재 가공에 적합합니다. ISO 그룹 H(고경도강), P(일반강/합금강)에 해당합니다.",SEMD98060E,4G Mills,material_target
4G Mills SEMD98060E의 특징이 뭐야?,4G Mills SEMD98060E의 주요 특징: Case study page comparg YG-1 vs Competir A. 볼 nose 엔드밀 test  prile cuttg. Wear vs. 밀링 length graph. Case study page  4G Mills 엔드밀. Test I comps YG-1 4G Mills vs CompetirA  prile cuttg.,SEMD98060E,4G Mills,feature
4G Mills SEMD98060E의 사양이 어떻게 돼?,"4G Mills SEMD98060E 사양: 날 수 2, 직경 범위 Ø6, 냉각 방식 Oil Mt.",SEMD98060E,4G Mills,tool_shape
4G Mills SEMD98060E은 어디에 쓰는 거야?,4G Mills SEMD98060E은(는) Prile Cuttg 등에 사용됩니다.,SEMD98060E,4G Mills,application
고경도강 가공할 때 쓸만한 엔드밀 있어?,"4G Mills SEMD98060E 시리즈를 추천합니다. 4G Mills End mills / 볼노즈 球头이며, ISO H(고경도강) 소재에 적합합니다.",SEMD98060E,4G Mills,selection
